Name	Path_to_bam	Path_to_bed	spikeCount	dmCount	RPS	RelativeSignal	RPGC	SRPMC	Batch
OregonR_K20me1_rep1	OregonR_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	OregonR_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	3648	9641958	2643.080592	1	14.31244567	14.3	1
OregonR_K20me1_rep2	OregonR_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	OregonR_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	4576	9121592	1993.354895	1	15.12893802	15.1	1
OregonR_K20me1_rep3	OregonR_K20me1_rep3_dm6_trim_q5_dupsRemoved_sorted.bam	OregonR_K20me1_rep3_dm6_trim_q5_dupsRemoved_allFrags.bed	1122	11575460	10316.80927	1	11.92177244	11.9	1
OregonR_no_primary_K20me1_rep1	OregonR_no_primary_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	OregonR_no_primary_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	16672	460106	27.59752879	0.01	299.9308855	3	1
OregonR_no_primary_K20me1_rep2	OregonR_no_primary_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	OregonR_no_primary_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	6410	296216	46.21154446	0.02	465.8762525	9.3	1
OregonR_no_primary_K20me1_rep3	OregonR_no_primary_K20me1_rep3_dm6_trim_q5_dupsRemoved_sorted.bam	OregonR_no_primary_K20me1_rep3_dm6_trim_q5_dupsRemoved_allFrags.bed	7418	2106648	283.9913723	0.03	65.50690955	2	1
Set8null_K20me1_rep1	Set8null_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	Set8null_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	10618	7921646	746.0582031	0.28	17.42062193	4.9	1
Set8null_K20me1_rep2	Set8null_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	Set8null_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	4462	8671440	1943.39758	0.97	15.91431181	15.4	1
Set8null_K20me1_rep3	Set8null_K20me1_rep3_dm6_trim_q5_dupsRemoved_sorted.bam	Set8null_K20me1_rep3_dm6_trim_q5_dupsRemoved_allFrags.bed	1622	9059264	5585.24291	0.54	15.23302555	8.2	1
Set8wt_K20me1_rep1	Set8wt_K20me1_rep1_dm6_trim_q5_dupsRemoved_sorted.bam	Set8wt_K20me1_rep1_dm6_trim_q5_dupsRemoved_allFrags.bed	3364	11811112	3511.032105	1	11.68391257	11.7	1
Set8wt_K20me1_rep2	Set8wt_K20me1_rep2_dm6_trim_q5_dupsRemoved_sorted.bam	Set8wt_K20me1_rep2_dm6_trim_q5_dupsRemoved_allFrags.bed	2560	10579652	4132.676563	1	13.0439073	13	1
Set8wt_K20me1_rep3	Set8wt_K20me1_rep3_dm6_trim_q5_dupsRemoved_sorted.bam	Set8wt_K20me1_rep3_dm6_trim_q5_dupsRemoved_allFrags.bed	1178	7063518	5996.195246	1	19.53700691	19.5	1
